"Date","Number Slaughtered ;  CATTLE (excl. calves) ;  Total (State) ;...2","Number Slaughtered ;  CATTLE (excl. calves) ;  New South Wales ;...3","Number Slaughtered ;  CATTLE (excl. calves) ;  Victoria ;...4","Number Slaughtered ;  CATTLE (excl. calves) ;  Queensland ;...5","Number Slaughtered ;  CATTLE (excl. calves) ;  South Australia ;...6","Number Slaughtered ;  CATTLE (excl. calves) ;  Western Australia ;...7","Number Slaughtered ;  CATTLE (excl. calves) ;  Tasmania ;...8","Number Slaughtered ;  CATTLE (excl. calves) ;  Northern Territory ;","Number Slaughtered ;  CATTLE (excl. calves) ;  Australian Capital Territory ;"
2007-06-01,"2041.5","450.2","371.5","967.4","79.5","111","60.6","1.2","0"
2007-09-01,"1959.2","420.9","342.5","966.5","66.900000000000006","113.5","48.9","0","0"
2007-12-01,"1965.8","441.6","383.3","877.6","87.6","124.6","51.1","0","0"
2008-03-01,"1778.2","428.2","378.4","708","84.4","124.5","54.7","0","0"
2008-06-01,"2130.1","473.1","412.4","1001.1","68.7","117.2","57.6","0","0"
2008-09-01,"1982","447.3","376.2","940.9","51","121.2","45.3","0","0"
2008-12-01,"1963.9","451.7","424","820.1","76.7","139.1","52.3","0","0"
2009-03-01,"1879.1","456.6","402.9","773.6","81.7","109.6","54.7","0","0"
2009-06-01,"1964.2","444.1","374.4","896.2","87.5","108","54.1","0","0"
2009-09-01,"1967.8","424.6","326.7","996.3","70","110.5","39.700000000000003","0","0"
2009-12-01,"1771.7","403.2","345.6","763.7","97.9","112.7","48.5","0","0"
2010-03-01,"1732.2","412.3","371.8","683","104.3","113.6","47.2","0","0"
2010-06-01,"1988.9","431.8","345.5","955.1","94","110.6","52","0","0"
2010-09-01,"1912.1","406.3","324.10000000000002","940","83.3","114","44.2","0","0"
2010-12-01,"1838.6","388.2","359.9","831.3","87","125","47.3","0","0"
2011-03-01,"1728.3","400.9","313","759.9","101.6","102.8","50.1","0","0"
2011-06-01,"1889.6","409.8","304.60000000000002","931.2","92.2","102.7","49.1","0","0"
2011-09-01,"1825","406.2","286.39999999999998","916.2","80.5","100.4","35.299999999999997","0","0"
2011-12-01,"1817.8","388.2","325","848.9","100.5","109","46.3","0","0"
2012-03-01,"1745.8","388","325.10000000000002","790.4","102.6","91.4","48.3","0","0"
2012-06-01,"1812.6","360.2","322.5","895.4","89.5","91.7","53.4","0","0"
2012-09-01,"1887.1","399.2","304","952.8","97.9","94.6","38.6","0","0"
2012-12-01,"1906.9","408.4","350","896.5","100.5","101.4","50.2","0","0"
2013-03-01,"1867.2","408.5","375","820.4","107.8","100.7","54.8","0","0"
2013-06-01,"2150","455.5","382.1","1048.4000000000001","110.1","94.7","59","0","0"
2013-09-01,"2210","465.2","415.5","1083.8","91.8","104.2","49.5","0","0"
2013-12-01,"2117","469.4","432.2","933.6","113.2","112.7","55.8","0","0"
2014-03-01,"2172.6","476.2","450","971","116.1","99.8","59.5","0","0"
2014-06-01,"2264.4","479.8","453.7","1071.0999999999999","105","94.6","60.3","0","0"
2014-09-01,"2464.9","536.70000000000005","490.4","1158.8","113.6","107.6","57.9","0","0"
2014-12-01,"2324.3000000000002","514.20000000000005","504.9","1008.2","121","118.3","57.7","0","0"
2015-03-01,"2263.1999999999998","506","490","990.2","116.8","103.7","56.5","0","0"
2015-06-01,"2367.6","493.6","454.5","1140.5","121.1","94.7","63.2","0","0"
2015-09-01,"2321.6999999999998","489.3","403.6","1148.3","119.8","105.8","54.9","0","0"
2015-12-01,"2054.8000000000002","454.5","430.3","881","116","112.5","60.6","0","0"
2016-03-01,"1824.2","402.9","393.6","772.4","101.9","94.8","58.6","0","0"
2016-06-01,"1988.1","443.6","372.8","925.4","97.4","94.1","54.7","0","0"
2016-09-01,"1717.6","340.1","293.8","864.4","85.1","96.4","37.799999999999997","0","0"
2016-12-01,"1758.1","386.9","309.7","820.3","91.6","102.3","47.3","0","0"
2017-03-01,"1673.8","383.4","304.3","759.2","89.1","88.5","49.2","0","0"
2017-06-01,"1831.9","392.1","313","894.2","94","85.5","53.1","0","0"
2017-09-01,"1923.1","402.9","334.8","945.7","93.4","95.6","50.8","0","0"
2017-12-01,"1729.7","382.1","344.8","750","95.6","103.4","53.8","0","0"
2018-03-01,"1765.4","407.7","368.7","783.2","56.2","92.7","56.9","0","0"
2018-06-01,"2060.9","444.4","400.9","1008.4","54.4","96.1","56.8","0","0"
2018-09-01,"2114.6999999999998","451.7","426.5","1026.9000000000001","51.6","103.9","54.1","0","0"
2018-12-01,"1932.1","451.5","428.6","823.5","57.6","112.8","58","0","0"
2019-03-01,"2010.4","460.8","442.3","895","55.9","98.5","57.9","0","0"
2019-06-01,"2113.3000000000002","460.1","456.3","971.7","54.8","108.4","62","0","0"
2019-09-01,"2229.6999999999998","476.9","457.4","1066.7","54.1","119.8","54.6","0","0"
2019-12-01,"2128.6","458.8","482.4","946.2","56.6","123.4","61.1","0","0"
2020-03-01,"1935.2","431.3","459.8","819.8","56.9","107.7","59.8","0","0"
2020-06-01,"1885.8","378.3","396.2","897.8","42.7","109.6","61.3","0","0"
2020-09-01,"1761.5","357.4","331.1","855.8","46.7","112.7","57.8","0","0"
2020-12-01,"1562.7","332.1","342.1","683.1","47.4","107.2","50.9","0","0"
2021-03-01,"1417.8","287.8","308.7","649.1","37.6","90.2","44.4","0","0"
2021-06-01,"1538.2","315.8","313.60000000000002","735.6","34.1","83.3","55.8","0","0"
2021-09-01,"1597.1","327.9","296.3","827.8","34.6","65.5","45","0","0"
2021-12-01,"1464.8","305.39999999999998","299.2","682.1","38.799999999999997","90.8","48.6","0","0"
2022-03-01,"1339.5","301.2","262.8","611.4","35.799999999999997","81.599999999999994","46.7","0","0"
2022-06-01,"1490.4","322.7","296.5","692.4","38.9","86.8","53","0","0"
2022-09-01,"1557.3","324.60000000000002","299.3","753.1","35.5","99.4","45.3","0","0"
2022-12-01,"1462.4","303.39999999999998","291.7","679.9","34.299999999999997","107.5","45.6","0","0"
2023-03-01,"1542.4","344.4","316","699.9","36.5","93.4","52.2","0","0"
2023-06-01,"1728.1","380.8","347.4","807.8","37.9","95.9","58.3","0","0"
2023-09-01,"1910.4","418.1","389.7","889","52.7","103.2","57.7","0","0"
2023-12-01,"1848","406","409.9","791.2","66.400000000000006","115.6","59","0","0"
2024-03-01,"1811.3","392.9","406.8","776.3","67.900000000000006","106.7","60.7","0","0"
